experiment_name,config_name,group,cer_mean,overall_cer_mean,gap_to_overall,runs
predicted_shape_main,shape_weighted,sample_class:source:imported_sg,0.6416526138279932,0.3433982683982684,0.2982543454297248,3
predicted_shape_main,shape_weighted,sample_class:source:imported_usa,0.6157760814249363,0.3433982683982684,0.2723778130266679,3
predicted_shape_main,shape_weighted,shape:square,0.6125786163522012,0.3433982683982684,0.2691803479539328,3
predicted_shape_main,shape_weighted,sample_class:style:white_on_red,0.576923076923077,0.3433982683982684,0.23352480852480856,3
predicted_shape_main,shape_weighted,sample_class:style:white_on_black,0.49855072463768113,0.3433982683982684,0.1551524562394127,3
predicted_shape_main,shape_weighted,sample_class:style:white_on_green,0.4954954954954955,0.3433982683982684,0.15209722709722706,3
predicted_shape_main,shape_weighted,shape:rect,0.20214521452145215,0.3433982683982684,-0.14125305387681628,3
predicted_shape_main,shape_weighted,sample_class:source:native_eu,0.26299125886158714,0.3433982683982684,-0.08040700953668128,3
predicted_shape_main,shape_weighted,sample_class:style:black_on_yellow,0.2905982905982906,0.3433982683982684,-0.052799977799977804,3
predicted_shape_main,shape_weighted,sample_class:style:white_on_blue,0.3644859813084112,0.3433982683982684,0.021087712910142775,3
predicted_shape_main,synthetic_curriculum,sample_class:source:imported_sg,0.5267003934794828,0.2966991341991342,0.23000125928034865,3
predicted_shape_main,synthetic_curriculum,sample_class:source:imported_usa,0.5139949109414759,0.2966991341991342,0.21729577674234168,3
predicted_shape_main,synthetic_curriculum,shape:square,0.5111635220125786,0.2966991341991342,0.21446438781344446,3
predicted_shape_main,synthetic_curriculum,shape:rect,0.18415841584158416,0.2966991341991342,-0.11254071835755003,3
predicted_shape_main,synthetic_curriculum,sample_class:style:white_on_red,0.38782051282051283,0.2966991341991342,0.09112137862137865,3
predicted_shape_main,synthetic_curriculum,sample_class:style:black_on_yellow,0.21367521367521367,0.2966991341991342,-0.08302392052392052,3
predicted_shape_main,synthetic_curriculum,sample_class:source:native_eu,0.23449652419299333,0.2966991341991342,-0.06220261000614086,3
predicted_shape_main,synthetic_curriculum,sample_class:style:white_on_blue,0.24610591900311524,0.2966991341991342,-0.05059321519601895,3
predicted_shape_main,synthetic_curriculum,sample_class:style:white_on_black,0.32173913043478264,0.2966991341991342,0.025039996235648454,3
predicted_shape_main,synthetic_curriculum,sample_class:style:white_on_green,0.3153153153153153,0.2966991341991342,0.01861618111618113,3
predicted_shape_main,synthetic_static,sample_class:source:imported_sg,0.5103991006183249,0.29458874458874457,0.21581035602958037,3
predicted_shape_main,synthetic_static,sample_class:source:imported_usa,0.5063613231552163,0.29458874458874457,0.21177257856647175,3
predicted_shape_main,synthetic_static,shape:square,0.5,0.29458874458874457,0.20541125541125543,3
predicted_shape_main,synthetic_static,shape:rect,0.18679867986798682,0.29458874458874457,-0.10779006472075775,3
predicted_shape_main,synthetic_static,sample_class:style:white_on_red,0.3878205128205128,0.29458874458874457,0.09323176823176821,3
predicted_shape_main,synthetic_static,sample_class:style:white_on_blue,0.22118380062305296,0.29458874458874457,-0.07340494396569161,3
predicted_shape_main,synthetic_static,sample_class:style:white_on_green,0.36036036036036034,0.29458874458874457,0.06577161577161578,3
predicted_shape_main,synthetic_static,sample_class:source:native_eu,0.23601073714639687,0.29458874458874457,-0.0585780074423477,3
predicted_shape_main,synthetic_static,sample_class:style:black_on_yellow,0.2393162393162393,0.29458874458874457,-0.05527250527250527,3
predicted_shape_main,synthetic_static,sample_class:style:white_on_black,0.3217391304347826,0.29458874458874457,0.027150385846038017,3
